,Unnamed: 0,subject_no,Trial_Index_,block,text,block_sequence,block_name,block_num,path,image,trialID,label,category,number,lastBlockType,tokenized,visual,wordnet_similarity_label,wordnet_similarity_category
15,15,1,16,2,head and white cloth,2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/001ET1,250,16,human,person,,,"['head', 'and', 'white', 'cloth']",3.7223684212499997,0.07446257446257447,0.2638888888888889
16,16,1,17,2,long human clothes and human head,2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/001ET1,601,17,human,person,,,"['long', 'human', 'clothe', 'and', 'human', 'head']",3.801241256833334,0.6851851851851851,0.10833333333333334
17,17,1,18,2,human ledgs under white clothes,2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/001ET1,186,18,human,person,,,"['human', 'ledgs', 'under', 'white', 'clothe']",4.0555555555,0.5454545454545454,0.3
18,18,1,19,2,human head with white hair ,2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/001ET1,425,19,human,person,,,"['human', 'head', 'with', 'white', 'hair']",4.3369590644,0.30328282828282827,0.2125
19,19,1,20,2,head and shoulders ratio,2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/001ET1,97,20,human,person,,,"['head', 'and', 'shoulder', 'ratio']",3.2938596492500003,0.056644880174291944,0.13095238095238096
20,20,1,21,2,white lothes and black hair,2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/001ET1,362,21,human,person,,,"['white', 'lothe', 'and', 'black', 'hair']",3.6938166495,0.0683982683982684,0.23863636363636365
21,21,1,22,2,legs and head,2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/001ET1,421,22,human,person,,,"['leg', 'and', 'head']",3.2043343656666665,0.05277777777777778,0.1125
23,23,1,24,2,legs and body,2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/001ET1,218,24,human,person,,,"['leg', 'and', 'body']",3.1517027866666667,0.06346153846153846,0.13333333333333333
25,25,1,26,2,arms and legs,2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/001ET1,808,26,human,person,,,"['arm', 'and', 'leg']",2.9858335680000003,0.05,0.1
26,26,1,27,2,body and legs,2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/001ET1,488,27,human,person,,,"['body', 'and', 'leg']",3.1517027866666667,0.06346153846153846,0.13333333333333333
27,27,1,28,2,bright cothes,2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/001ET1,805,28,human,person,,,"['bright', 'cothe']",4.705882353,0.0,0.0
28,28,1,29,2,head and shouldrs,2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/001ET1,875,29,human,person,,,"['head', 'and', 'shouldr']",2.8947368425,0.05555555555555555,0.125
30,30,1,31,2,arms and head,2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/001ET1,99,31,human,person,,,"['arm', 'and', 'head']",3.2025518343333332,0.05277777777777778,0.1125
31,31,1,32,2,body and leg,2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/001ET1,324,32,human,person,,,"['body', 'and', 'leg']",3.1517027866666667,0.06346153846153846,0.13333333333333333
32,32,1,33,2,red clothes,2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/001ET1,129,33,human,person,,,"['red', 'clothe']",4.152777778,0.047619047619047616,0.09090909090909091
34,34,1,35,2,body and head,2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/001ET1,286,35,human,person,,,"['body', 'and', 'head']",3.368421053,0.06623931623931624,0.14583333333333331
35,35,1,36,2,green cloth and face,2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/001ET1,389,36,human,person,,,"['green', 'cloth', 'and', 'face']",3.80986842125,0.06003256003256003,0.1275252525252525
36,36,1,37,2,legs,2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/001ET1,775,37,human,person,,,['leg'],3.823529412,0.05,0.1
37,37,1,38,2,legs and body,2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/001ET1,388,38,human,person,,,"['leg', 'and', 'body']",3.1517027866666667,0.06346153846153846,0.13333333333333333
39,39,1,40,2,clothes,2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/001ET1,558,40,human,person,,,['clothe'],3.75,0.0,0.0
40,40,1,41,2,clothes and head,2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/001ET1,670,41,human,person,,,"['clothe', 'and', 'head']",3.179824561666667,0.05555555555555555,0.125
41,41,1,42,2,clothes,2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/001ET1,829,42,human,person,,,['clothe'],3.75,0.0,0.0
42,42,1,43,2,clothes,2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/001ET1,270,43,human,person,,,['clothe'],3.75,0.0,0.0
43,43,1,44,2,legs,2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/001ET1,683,44,human,person,,,['leg'],3.823529412,0.05,0.1
44,44,1,45,2,face,2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/001ET1,282,45,human,person,,,['face'],4.95,0.05555555555555555,0.125
45,45,1,46,2,cloth,2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/001ET1,631,46,human,person,,,['cloth'],4.5,0.07692307692307693,0.16666666666666666
46,46,1,47,2,legs,2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/001ET1,34,47,human,person,,,['leg'],3.823529412,0.05,0.1
48,48,1,49,2,head and arm,2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/001ET1,757,49,human,person,,,"['head', 'and', 'arm']",3.2025518343333332,0.05277777777777778,0.1125
49,0,2,1,2,blue jacket and head,2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/002ET1,425,1,human,person,,,"['blue', 'jacket', 'and', 'head']",3.5892801860000003,0.05291005291005291,0.10227272727272728
50,1,2,2,2,higher than the bench,2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/002ET1,231,2,human,person,,,"['high', 'than', 'the', 'bench']",2.17646198825,0.05572755417956656,0.10555555555555556
51,2,2,3,2,different from the fense and white car,2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/002ET1,97,3,human,person,,,"['different', 'from', 'the', 'fense', 'and', 'white', 'car']",2.8250702515,0.07323232323232323,0.29545454545454547
52,3,2,4,2,"different color from the background, a bit lighter in the top and darker in his leg",2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/002ET1,34,4,human,person,,,"['different', 'color', 'from', 'the', 'background', 'a', 'bit', 'light', 'in', 'the', 'top', 'and', 'dark', 'in', 'his', 'leg']",2.9797652333124995,0.05231905521379206,0.10754329004329004
53,4,2,5,2,black coat,2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/002ET1,601,5,human,person,,,"['black', 'coat']",4.165849673,0.05322128851540616,0.09545454545454546
54,5,2,6,2,"in black, contrast to the white car",2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/002ET1,422,6,human,person,,,"['in', 'black', 'contrast', 'to', 'the', 'white', 'car']",3.138384899285714,0.05992784992784993,0.18136363636363637
55,6,2,7,2,a black head,2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/002ET1,11,7,human,person,,,"['a', 'black', 'head']",3.7909479583333336,0.05026455026455026,0.10227272727272728
56,7,2,8,2,"wirth hat, a bit lighter",2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/002ET1,683,8,human,person,,,"['wirth', 'hat', 'a', 'bit', 'light']",3.54414475475,0.052051293005240376,0.09911616161616162
57,8,2,9,2,white tshirt with darker jacket,2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/002ET1,380,9,human,person,,,"['white', 'tshirt', 'with', 'dark', 'jacket']",4.22546439625,0.06636540847067163,0.23400673400673402
58,9,2,10,2,in black,2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/002ET1,218,10,human,person,,,"['in', 'black']",3.5602941175,0.04880952380952381,0.09545454545454546
60,11,2,12,2,human shape in black,2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/002ET1,488,12,human,person,,,"['human', 'shape', 'in', 'black']",4.1371732025,0.287562656641604,0.10050505050505051
61,12,2,13,2,"a head, but cant really tell",2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/002ET1,173,13,human,person,,,"['a', 'head', 'but', 'ca', 'nt', 'really', 'tell']",2.1117794487999997,0.057130647130647125,0.13818181818181818
62,13,2,14,2,"brown jacket, human shape from the surroundings",2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/002ET1,670,14,human,person,,,"['brown', 'jacket', 'human', 'shape', 'from', 'the', 'surrounding']",3.5528229939999996,0.2889515455304929,0.09823232323232324
63,14,2,15,2,blue outfit,2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/002ET1,270,15,human,person,,,"['blue', 'outfit']",4.25,0.04880952380952381,0.09545454545454546
64,15,2,16,2,"grey tshirt, can see his face",2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/002ET1,282,16,human,person,,,"['gray', 'tshirt', 'can', 'see', 'his', 'face']",4.1976576578,0.05634920634920635,0.11022727272727273
65,16,2,17,2,"cutting the line, see his head, hands and shoes",2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/002ET1,388,17,human,person,,,"['cut', 'the', 'line', 'see', 'his', 'head', 'hand', 'and', 'shoe']",3.4241390513333334,0.05550682261208576,0.11203703703703705
66,17,2,18,2,black head,2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/002ET1,875,18,human,person,,,"['black', 'head']",4.472136223,0.051587301587301584,0.10795454545454546
67,18,2,19,2,white plastic bag,2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/002ET1,348,19,human,person,,,"['white', 'plastic', 'bag']",4.52249742,0.07335858585858586,0.2638888888888889
68,19,2,20,2,black head and body,2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/002ET1,232,20,human,person,,,"['black', 'head', 'and', 'body']",3.6439628485,0.06003256003256003,0.1275252525252525
69,20,2,21,2,"human shape, cant really tell",2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/002ET1,129,21,human,person,,,"['human', 'shape', 'ca', 'nt', 'really', 'tell']",3.0807103542499994,0.24702204228520017,0.13722222222222222
70,21,2,22,2,i cant tell,2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/002ET1,415,22,human,person,,,"['I', 'ca', 'nt', 'tell']",1.759109312,0.060826210826210834,0.15833333333333333
71,22,2,23,2,"didnt pay attentions, this blurs a lot",2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/002ET1,47,23,human,person,,,"['did', 'nt', 'pay', 'attention', 'this', 'blur', 'a', 'lot']",3.0855542217142857,0.04895481457266354,0.09649054649054649
72,23,2,24,2,can see his head arms everything,2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/002ET1,808,24,human,person,,,"['can', 'see', 'his', 'head', 'arm', 'everything']",3.9609459254999995,0.056944444444444436,0.11249999999999999
73,24,2,25,2,black head and upper body,2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/002ET1,99,25,human,person,,,"['black', 'head', 'and', 'upper', 'body']",3.5776702788000003,0.05818231476126213,0.11647727272727273
74,25,2,26,2,"white tshirt, bblack head",2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/002ET1,250,26,human,person,,,"['white', 'tshirt', 'bblack', 'head']",4.5368421055,0.07323232323232323,0.3125
75,26,2,27,2,lighter than surroundings,2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/002ET1,631,27,human,person,,,"['light', 'than', 'surrounding']",3.0074074073333334,0.045454545454545456,0.08333333333333333
76,27,2,28,2,"clearly human, can see her body",2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/002ET1,865,28,human,person,,,"['clearly', 'human', 'can', 'see', 'her', 'body']",4.2578504341666665,0.2997863247863248,0.12291666666666667
77,28,2,29,2,can see legs,2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/002ET1,186,29,human,person,,,"['can', 'see', 'leg']",4.163398693,0.05740740740740741,0.10833333333333334
78,29,2,30,2,see the legs walking,2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/002ET1,421,30,human,person,,,"['see', 'the', 'leg', 'walk']",3.22140522875,0.04967793880837359,0.09230769230769231
79,30,2,31,2,white shirt,2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/002ET1,59,31,human,person,,,"['white', 'shirt']",4.699999999999999,0.07670454545454546,0.3055555555555556
80,31,2,32,2,lighter in the light,2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/002ET1,760,32,human,person,,,"['light', 'in', 'the', 'light']",3.198611111,0.046969696969696974,0.08888888888888889
81,32,2,33,2,human shape,2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/002ET1,324,33,human,person,,,"['human', 'shape']",4.7140522874999995,0.5263157894736842,0.10555555555555556
82,33,2,34,2,legs,2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/002ET1,608,34,human,person,,,['leg'],3.823529412,0.05,0.1
83,34,2,35,2,head with black jackets,2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/002ET1,480,35,human,person,,,"['head', 'with', 'black', 'jacket']",4.14047987625,0.05291005291005291,0.10227272727272728
84,35,2,36,2,upper body and head,2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/002ET1,805,36,human,person,,,"['upper', 'body', 'and', 'head']",3.35444078975,0.061703403808666964,0.125
85,36,2,37,2,"red backpack, walking",2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/002ET1,558,37,human,person,,,"['red', 'backpack', 'walk']",3.874400871666667,0.05119910282953761,0.09298109298109299
86,37,2,38,2,green tshirt,2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/002ET1,389,38,human,person,,,"['green', 'tshirt']",4.473684211,0.047619047619047616,0.09090909090909091
87,38,2,39,2,in black,2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/002ET1,775,39,human,person,,,"['in', 'black']",3.5602941175,0.04880952380952381,0.09545454545454546
88,39,2,40,2,"human shape, darder than surroundings",2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/002ET1,85,40,human,person,,,"['human', 'shape', 'darder', 'than', 'surrounding']",3.4625816992499994,0.5263157894736842,0.10555555555555556
89,40,2,41,2,white clothes,2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/002ET1,470,41,human,person,,,"['white', 'clothe']",4.175,0.09090909090909091,0.5
90,41,2,42,2,legs head body,2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/002ET1,411,42,human,person,,,"['leg', 'head', 'body']",4.204334365666667,0.060826210826210834,0.13055555555555556
91,42,2,43,2,head white hair especially,2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/002ET1,757,43,human,person,,,"['head', 'white', 'hair', 'especially']",3.5366959065,0.07104377104377103,0.25
92,43,2,44,2,"just human shape, cant really tell",2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/002ET1,748,44,human,person,,,"['just', 'human', 'shape', 'ca', 'nt', 'really', 'tell']",2.8745682833999995,0.24702204228520017,0.13722222222222222
93,44,2,45,2,different from the fense,2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/002ET1,703,45,human,person,,,"['different', 'from', 'the', 'fense']",2.215247715333333,0.0,0.0
94,45,2,46,2,head and upper body,2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/002ET1,829,46,human,person,,,"['head', 'and', 'upper', 'body']",3.35444078975,0.061703403808666964,0.125
95,46,2,47,2,"human shape, cant really tell",2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/002ET1,845,47,human,person,,,"['human', 'shape', 'ca', 'nt', 'really', 'tell']",3.0807103542499994,0.24702204228520017,0.13722222222222222
96,47,2,48,2,"a bit blur, but black human shape",2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/002ET1,286,48,human,person,,,"['a', 'bit', 'blur', 'but', 'black', 'human', 'shape']",3.4309411937142857,0.2084168755221387,0.10067340067340065
97,48,2,49,2,white shirt long hair,2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/002ET1,362,49,human,person,,,"['white', 'shirt', 'long', 'hair']",4.4031045752499995,0.07335858585858586,0.24537037037037038
98,0,3,1,2,"height,leg",2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/003ET1,59,1,human,person,,,['heightleg'],0.0,0.0,0.0
99,1,3,2,2,"2 les, head, 2arms",2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/003ET1,558,2,human,person,,,"['2', 'les', 'head', '2arms']",4.473684211,0.051587301587301584,0.10795454545454546
100,2,3,3,2,head,2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/003ET1,875,3,human,person,,,['head'],4.473684211,0.05555555555555555,0.125
101,3,3,4,2,"arms, legs, height",2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/003ET1,348,4,human,person,,,"['arm', 'leg', 'height']",4.084274113666667,0.05000000000000001,0.10000000000000002
102,4,3,5,2,"2 legs, 2 arms, cloth",2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/003ET1,608,5,human,person,,,"['2', 'leg', '2', 'arm', 'cloth']",4.047237076666667,0.054432234432234425,0.1096969696969697
103,5,3,6,2,"height, 2 legs",2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/003ET1,422,6,human,person,,,"['height', '2', 'leg']",4.217320261499999,0.049206349206349205,0.09696969696969697
104,6,3,7,2,"legs,cloth",2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/003ET1,34,7,human,person,,,['legscloth'],0.0,0.0,0.0
105,7,3,8,2,"2 legs, head, height, cloth",2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/003ET1,411,8,human,person,,,"['2', 'leg', 'head', 'height', 'cloth']",4.3520811835,0.05601953601953602,0.1165151515151515
106,8,3,9,2,"head, cloth",2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/003ET1,270,9,human,person,,,"['head', 'cloth']",4.4868421055,0.06623931623931624,0.14583333333333331
107,9,3,10,2,"height, 2 legs",2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/003ET1,324,10,human,person,,,"['height', '2', 'leg']",4.217320261499999,0.049206349206349205,0.09696969696969697
108,10,3,11,2,height,2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/003ET1,129,11,human,person,,,['height'],4.611111111,0.05,0.1
109,11,3,12,2,"cloth, height",2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/003ET1,748,12,human,person,,,"['cloth', 'height']",4.5555555555,0.06346153846153846,0.13333333333333333
110,12,3,13,2,"cloth, height, head",2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/003ET1,845,13,human,person,,,"['cloth', 'height', 'head']",4.5282651073333335,0.06082621082621082,0.13055555555555556
111,13,3,14,2,"cloth, 2 arms, 2 legs",2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/003ET1,808,14,human,person,,,"['cloth', '2', 'arm', '2', 'leg']",4.047237076666666,0.054432234432234425,0.1096969696969697
112,14,3,15,2,head,2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/003ET1,452,15,human,person,,,['head'],4.473684211,0.05555555555555555,0.125
113,15,3,16,2,2 legs. head. height,2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/003ET1,488,16,human,person,,,"['2', 'leg', 'head', 'height']",4.302774911333334,0.050793650793650794,0.10397727272727272
114,16,3,17,2,head,2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/003ET1,11,17,human,person,,,['head'],4.473684211,0.05555555555555555,0.125
115,17,3,18,2,head,2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/003ET1,173,18,human,person,,,['head'],4.473684211,0.05555555555555555,0.125
116,18,3,19,2,cloth,2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/003ET1,250,19,human,person,,,['cloth'],4.5,0.07692307692307693,0.16666666666666666
117,19,3,20,2,"height, 2 legs, cloth",2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/003ET1,380,20,human,person,,,"['height', '2', 'leg', 'cloth']",4.311546840999999,0.05613553113553114,0.11439393939393938
118,20,3,21,2,"height,cloth",2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/003ET1,97,21,human,person,,,['heightcloth'],0.0,0.0,0.0
119,21,3,22,2,"height, 2 legs",2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/003ET1,231,22,human,person,,,"['height', '2', 'leg']",4.217320261499999,0.049206349206349205,0.09696969696969697
120,22,3,23,2,"shoes, 2 legs",2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/003ET1,388,23,human,person,,,"['shoe', '2', 'leg']",4.1062091505,0.05476190476190476,0.1053030303030303
121,23,3,24,2,"height, cloth",2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/003ET1,631,24,human,person,,,"['height', 'cloth']",4.5555555555,0.06346153846153846,0.13333333333333333
122,24,3,25,2,"2 legs, head",2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/003ET1,421,25,human,person,,,"['2', 'leg', 'head']",4.1486068115000005,0.05105820105820106,0.1053030303030303
123,25,3,26,2,"head, legs",2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/003ET1,232,26,human,person,,,"['head', 'leg']",4.1486068115000005,0.05277777777777778,0.1125
124,26,3,27,2,"arms, legs, cloth",2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/003ET1,683,27,human,person,,,"['arm', 'leg', 'cloth']",4.047237076666667,0.05897435897435898,0.12222222222222223
125,27,3,28,2,"head, cloth",2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/003ET1,757,28,human,person,,,"['head', 'cloth']",4.4868421055,0.06623931623931624,0.14583333333333331
126,28,3,29,2,"cloth head, arms",2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/003ET1,282,29,human,person,,,"['cloth', 'head', 'arm']",4.263955343,0.060826210826210834,0.13055555555555554
127,29,3,30,2,"height, cloth",2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/003ET1,829,30,human,person,,,"['height', 'cloth']",4.5555555555,0.06346153846153846,0.13333333333333333
129,31,3,32,2,"height, legs",2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/003ET1,703,32,human,person,,,"['height', 'leg']",4.217320261499999,0.05,0.1
130,32,3,33,2,"bag, cloth",2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/003ET1,805,33,human,person,,,"['bag', 'cloth']",4.4705882355,0.07179487179487179,0.14583333333333331
132,34,3,35,2,"head, cloth",2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/003ET1,480,35,human,person,,,"['head', 'cloth']",4.4868421055,0.06623931623931624,0.14583333333333331
133,35,3,36,2,"head, cloth",2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/003ET1,425,36,human,person,,,"['head', 'cloth']",4.4868421055,0.06623931623931624,0.14583333333333331
134,36,3,37,2,"head, arms, legs, cloh",2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/003ET1,670,37,human,person,,,"['head', 'arm', 'leg', 'cloh']",4.038465147,0.05185185185185185,0.10833333333333334
135,37,3,38,2,"2legs, height",2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/003ET1,775,38,human,person,,,"['2legs', 'height']",4.611111111,0.05,0.1
136,38,3,39,2,"arms, legs, head, cloth",2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/003ET1,389,39,human,person,,,"['arm', 'leg', 'head', 'cloth']",4.15384886025,0.05811965811965812,0.12291666666666667
137,39,3,40,2,"2 legs, height",2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/003ET1,218,40,human,person,,,"['2', 'leg', 'height']",4.217320261499999,0.049206349206349205,0.09696969696969697
138,40,3,41,2,"head, arms",2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/003ET1,99,41,human,person,,,"['head', 'arm']",4.1459330145,0.05277777777777778,0.1125
