subject_no,Trial_Index_,block,text,block_sequence,block_name,label,image
2,29,1,"a in-house appliance for storing food, drinks, frozen to keep them fresh or extend lifetime ",1,prac,refrigerator,refrigerator_536947.png
2,30,1,a tool for hitting the tennis ball,1,prac,tennis racket,tennis racket_394559.png
2,31,1,a bag took by shoulders or carried in hand,1,prac,handbag,handbag_250127.png
2,32,1,a creature called human,1,prac,person,person_278705.png
2,33,1,a glass container for wine,1,prac,wine glass,wine glass_25394.png
2,34,1,a tool with sharp blades for cutting thing,1,prac,scissors,scissors_324715.png
2,35,1,a entertainment tool for riding on the waves,1,prac,surfboard,surfboard_554595.png
2,36,1,"a fruit in orange, yellow, red coat and in round shape",1,prac,apple,apple_562059.png
2,37,1,a case for carrying on its wheels,1,prac,suitcase,suitcase_23023.png
2,38,1,a animal like unicorn but without the hone,1,prac,horse,horse_382088.png
2,39,1,a vichele riding on the road with the capacity to carry 20-30 passengers,1,prac,bus,bus_226154.png
2,40,1,a animal in black-white stripes,1,prac,zebra,zebra_449406.png
3,1,1,an object with two blades,1,prac,scissors,scissors_324715.png
3,2,1,with mattrass on the top and able to sleep on top\,1,prac,bed,bed_491757.png
3,3,1,a racket used to hit tennis ball,1,prac,tennis racket,tennis racket_394559.png
3,4,1,a trasportation with multiple trains on the trail,1,prac,train,train_539143.png
3,5,1,with air wings at both sides. able to take flight for passengers,1,prac,airplane,airplane_167540.png
3,6,1,"with a rider on top, with four legs",1,prac,horse,horse_439715.png
3,7,1,flat object used for surfing near ocean,1,prac,surfboard,surfboard_554595.png
3,8,1,"made with fabric, able to hold stuff inside",1,prac,backpack,backpack_370478.png
3,9,1,red. with pale strips. able to eat,1,prac,apple,apple_562059.png
3,10,1,"with four wheels. used for skateboarding, hiphop culture",1,prac,skateboard,skateboard_71877.png
3,11,1,"well designed, with strip holders",1,prac,handbag,handbag_383842.png
3,12,1,green plants in a colorful container,1,prac,potted plant,potted plant_407614.png
3,13,1,"used for skiing in winter, a pair",1,prac,skis,skis_342397.png
3,14,1,"well designed, usually used by women, able to hold stuff inside",1,prac,handbag,handbag_250127.png
3,15,1,an animal. brown with four legs. eating grass,1,prac,cow,cow_361268.png
3,16,1,"can be used for baking, in the kitchen, large",1,prac,oven,oven_446005.png
3,17,1,"yellow fruit, need to peel to eat",1,prac,banana,banana_279769.png
3,18,1,"used to heat stuff, in the kitchen, usally on top of oven",1,prac,microwave,microwave_91615.png
3,19,1,huge mammal. with horn and flat ears and long tails,1,prac,elephant,elephant_97230.png
3,20,1,"with a monitor, can be used to access data in the system. electronic product",1,prac,laptop,laptop_482970.png
3,21,1,"square, used during travelling. can hold stuff inside",1,prac,suitcase,suitcase_23023.png
3,22,1,"used to keep food cool, electronic product, white",1,prac,refrigerator,refrigerator_536947.png
3,23,1,on top of people,1,prac,umbrella,umbrella_180487.png
3,24,1,"have food on top of it, usually in the dining roo,",1,prac,dining table,dining table_385029.png
3,25,1,"white, on the lake or ocean. transportation",1,prac,boat,boat_442822.png
3,26,1,with four wheels. puglic transporation,1,prac,bus,bus_226154.png
3,27,1,"brown, furry toy, like a bear",1,prac,teddy bear,teddy bear_82180.png
3,28,1,brown cute toy looks like a bear,1,prac,teddy bear,teddy bear_205542.png
3,29,1,an oval shape container used to hold drink like wine,1,prac,wine glass,wine glass_25394.png
3,30,1,animal like horse but with black and white strips,1,prac,zebra,zebra_449406.png
3,31,1,a fruit bitten easily rotten,1,prac,apple,apple_216277.png
3,32,1,a long cozy furniture to sit on to,1,prac,couch,couch_31735.png
3,33,1,an animal with long face ,1,prac,horse,horse_382088.png
3,34,1,container made of glass used to hold drink or  liquid,1,prac,bottle,bottle_385029.png
3,35,1,electronic product used to dry hair with plastic cover,1,prac,hair drier,hair drier_239041.png
3,36,1,human with head arms legs active,1,prac,person,person_278705.png
3,37,1,a type of food with a sausage between two piece of bread,1,prac,hot dog,hot dog_400082.png
3,38,1,with fabric cover can be used to cover human from raindrops falling down\,1,prac,umbrella,umbrella_455157.png
3,39,1,with fabric or leathre cover and logos able to hold stuff inside,1,prac,suitcase,suitcase_350019.png
3,40,1,near the street can be used during fire disaster ,1,prac,fire hydrant,fire hydrant_293071.png
4,1,1,"an animal with long nose and large ears and long teeth, brown in color",1,prac,elephant,elephant_97230.png
4,2,1,a tool used to hold liquid,1,prac,bottle,bottle_385029.png
4,3,1,two long boards used for skiing,1,prac,skis,skis_342397.png
4,4,1,a fruit that is round and red in color,1,prac,apple,apple_562059.png
4,5,1,"a tool used to dry the hair, looks like a gun",1,prac,hair drier,hair drier_239041.png
4,6,1,"a tool used to cut things, have two holes for people to hold and a lower part for cutting",1,prac,scissors,scissors_324715.png
4,7,1,a bag that can be carried at a person's back,1,prac,backpack,backpack_370478.png
4,8,1,a fruit that has red skin and yellow flesh,1,prac,apple,apple_216277.png
4,9,1,"a fruit with yellow skin, its shape is like the moon",1,prac,banana,banana_279769.png
4,10,1,"a board that is large and flat, used for surfing",1,prac,surfboard,surfboard_554595.png
4,11,1,a plant that is grown in a pot,1,prac,potted plant,potted plant_407614.png
4,12,1,"a bag with two handles, allowing people to carry it by hands",1,prac,handbag,handbag_383842.png
4,13,1,a board with two wheels,1,prac,skateboard,skateboard_71877.png
4,14,1,"a kind a chair for people to sit on, it is soft and large",1,prac,couch,couch_31735.png
4,15,1,"a tool for baking food, it is large and have space to hold food and have some buttons for controlling",1,prac,oven,oven_446005.png
4,16,1,"a tool used to play tennis ball, has a net and a handle",1,prac,tennis racket,tennis racket_394559.png
4,17,1,"a tool that can provide water for extinuishing fire, has a side for water provision",1,prac,fire hydrant,fire hydrant_293071.png
4,18,1,a large container used to hold a lot of thingswhen people are travelling,1,prac,suitcase,suitcase_350019.png
4,19,1,"a cup used to hold wine, has a long handle",1,prac,wine glass,wine glass_25394.png
4,20,1,"a funiture used for putting food on it, it is large",1,prac,dining table,dining table_385029.png
4,21,1,"a vechicle used for people to travel across water, ",1,prac,boat,boat_442822.png
4,22,1,a doll that looks like a bear,1,prac,teddy bear,teddy bear_82180.png
4,23,1,"a place where people sleep on, has pillows",1,prac,bed,bed_491757.png
4,24,1,a large vechicle that can hold a lot of people,1,prac,bus,bus_226154.png
4,25,1,"a large tool used to hold food, has two doors",1,prac,refrigerator,refrigerator_536947.png
4,26,1,a human being,1,prac,person,person_278705.png
4,27,1,"a tool used when raining or too sunny, can cover the head",1,prac,umbrella,umbrella_180487.png
4,28,1,an animal with long head and long hair on its head,1,prac,horse,horse_382088.png
4,29,1,an animal that can carry people,1,prac,horse,horse_439715.png
4,30,1,a bag with tow handles that allow people to carry it by hands or sholuders,1,prac,handbag,handbag_250127.png
4,31,1,a bread with sausages at its centre,1,prac,hot dog,hot dog_400082.png
4,32,1,a horse-like animal with black and white strips,1,prac,zebra,zebra_449406.png
4,33,1,a tool that has a handle and has water-proof cloth that allows people to cover the sun and rain,1,prac,umbrella,umbrella_455157.png
4,34,1,"a long vechicle that runs on rail, can carry many people",1,prac,train,train_539143.png
4,35,1,a computer that can be put on laps to use,1,prac,laptop,laptop_482970.png
4,36,1,"an animal that eats grass, has large body",1,prac,cow,cow_361268.png
4,37,1,"a tool used to heat food, has a door, a handle, a space to hold food, and buttons ",1,prac,microwave,microwave_91615.png
4,38,1,"a large container for holding things, has handle and different spaces for holding things",1,prac,suitcase,suitcase_23023.png
4,39,1,a vechicle that can fly in the sky,1,prac,airplane,airplane_167540.png
4,40,1,a doll that looks like a bear,1,prac,teddy bear,teddy bear_205542.png
5,1,1,this is a thing that looks like a boat,1,prac,boat,boat_442822.png
5,2,1,a tool people can use it to cut something,1,prac,scissors,scissors_324715.png
5,3,1,a lot of coaches that can transport people,1,prac,train,train_539143.png
5,4,1,all that things look like this shape,1,prac,fire hydrant,fire hydrant_293071.png
5,5,1,that is a tool people can use it to avoid sunlight or rain,1,prac,umbrella,umbrella_180487.png
5,6,1,a bag people can put some small thing in it,1,prac,handbag,handbag_383842.png
5,7,1,a brade with a sosage,1,prac,hot dog,hot dog_400082.png
5,8,1,a cup people use it to drink wine,1,prac,wine glass,wine glass_25394.png
5,9,1,a big and grey animal with two big ears,1,prac,elephant,elephant_97230.png
5,10,1,look like a big box,1,prac,suitcase,suitcase_23023.png
5,11,1,some some planet thatpeople can cultivate in the room,1,prac,potted plant,potted plant_407614.png
5,12,1,a small sofa,1,prac,couch,couch_31735.png
5,13,1,a device with a keyboard and screen,1,prac,laptop,laptop_482970.png
5,14,1,an animal,1,prac,horse,horse_382088.png
5,15,1,a bag people can hung it on their body,1,prac,handbag,handbag_250127.png
5,16,1,a galss tool that contain liquied,1,prac,bottle,bottle_385029.png
5,17,1,a yellow fruit,1,prac,banana,banana_279769.png
5,18,1,a toy,1,prac,teddy bear,teddy bear_205542.png
5,19,1,a horse with white and black color,1,prac,zebra,zebra_449406.png
5,20,1,a board people can use it on the water surface,1,prac,surfboard,surfboard_554595.png
5,21,1,an big animal,1,prac,cow,cow_361268.png
5,22,1,an animal people can ride it,1,prac,horse,horse_439715.png
5,23,1,a device has hot air,1,prac,hair drier,hair drier_239041.png
5,24,1,it looks like a big box and people can put lots of thing in it,1,prac,suitcase,suitcase_350019.png
5,25,1,a big car that can contain many people,1,prac,bus,bus_226154.png
5,26,1,a human,1,prac,person,person_278705.png
5,27,1,a tool people usually use it to prevent sunlight and rain,1,prac,umbrella,umbrella_455157.png
5,28,1,a toy,1,prac,teddy bear,teddy bear_82180.png
5,29,1,a beg,1,prac,backpack,backpack_370478.png
5,30,1,a fruit,1,prac,apple,apple_562059.png
5,31,1,a transportation method people can fly,1,prac,airplane,airplane_167540.png
5,32,1,a board with four wheels,1,prac,skateboard,skateboard_71877.png
5,33,1,a big table,1,prac,dining table,dining table_385029.png
5,34,1,a tool people can use it play with ball,1,prac,tennis racket,tennis racket_394559.png
5,35,1,a machine lokks like a big box,1,prac,refrigerator,refrigerator_536947.png
5,36,1,a fruit,1,prac,apple,apple_216277.png
5,37,1,a machine looks like a box,1,prac,microwave,microwave_91615.png
5,38,1,a machine usually in the kitchen and people usually put food on it,1,prac,oven,oven_446005.png
5,39,1,a wide surfce and bedsheet and pillow on ot,1,prac,bed,bed_491757.png
5,40,1,a board,1,prac,skis,skis_342397.png
6,1,1,a cat staying on a be,1,prac,bed,bed_491757.png
6,2,1,a fluffy toy,1,prac,teddy bear,teddy bear_205542.png
6,3,1,sport on ice,1,prac,skis,skis_342397.png
6,4,1,a flying object,1,prac,airplane,airplane_167540.png
6,5,1,a white animal ,1,prac,horse,horse_382088.png
6,6,1,a stationary to cut tings,1,prac,scissors,scissors_324715.png
6,7,1,a pot with soil and green live leaves,1,prac,potted plant,potted plant_407614.png
6,8,1,a bitten apple,1,prac,apple,apple_216277.png
6,9,1,a two puffy seated furniture,1,prac,couch,couch_31735.png
6,10,1,a bag with wheels to put your belongings,1,prac,suitcase,suitcase_23023.png
6,11,1,to sail on sea,1,prac,boat,boat_442822.png
6,12,1,a bread with processed meat in the middle,1,prac,hot dog,hot dog_400082.png
6,13,1,a cup to pour wine,1,prac,wine glass,wine glass_25394.png
6,14,1,a furniture to put food and eat,1,prac,dining table,dining table_385029.png
6,15,1,a black and white animla,1,prac,zebra,zebra_449406.png
6,16,1,a fluffy soft toy,1,prac,teddy bear,teddy bear_82180.png
6,17,1,an animaltht eats grass anr produces milk,1,prac,cow,cow_361268.png
6,18,1,a bag a to put things in,1,prac,handbag,handbag_250127.png
6,19,1,an animal to ride on,1,prac,horse,horse_439715.png
6,20,1,a board to ride on sea,1,prac,surfboard,surfboard_554595.png
6,21,1,a trasnportatin ,1,prac,train,train_539143.png
6,22,1,an object to alarm when fire,1,prac,fire hydrant,fire hydrant_293071.png
6,23,1,a board to play on with four wheels,1,prac,skateboard,skateboard_71877.png
6,24,1,a tpe of fruit with yellow skin and white mushy texture,1,prac,banana,banana_279769.png
6,25,1,a tool to whack a tennis ball,1,prac,tennis racket,tennis racket_394559.png
6,26,1,an object used when rainin,1,prac,umbrella,umbrella_455157.png
6,27,1,an object used to reduce sunlight,1,prac,umbrella,umbrella_180487.png
6,28,1,an electronic ware to put food in,1,prac,refrigerator,refrigerator_536947.png
6,29,1,a lage animal,1,prac,elephant,elephant_97230.png
6,30,1,an electronic ware to heat food fast,1,prac,microwave,microwave_91615.png
6,31,1,an electronic ware to bake thins,1,prac,oven,oven_446005.png
6,32,1,a place to put and carry your things,1,prac,backpack,backpack_370478.png
6,33,1,"a place to put your belongings when travel, with four wheelts to carry",1,prac,suitcase,suitcase_350019.png
6,34,1, a public transportation on  land,1,prac,bus,bus_226154.png
6,35,1,a fruuit with red skin and a stem in the middle,1,prac,apple,apple_562059.png
6,36,1,a personal computer to carry arund,1,prac,laptop,laptop_482970.png
6,37,1,an electronic ware to dry your hair,1,prac,hair drier,hair drier_239041.png
6,38,1,a place to hold your thins,1,prac,handbag,handbag_383842.png
6,39,1,a place to hold liquid in,1,prac,bottle,bottle_385029.png
6,40,1,a human being,1,prac,person,person_278705.png
7,1,1,animal that is used to ride,1,prac,horse,horse_439715.png
7,2,1,cover from rain,1,prac,umbrella,umbrella_455157.png
7,3,1,type of transport that carries cargo and people,1,prac,train,train_539143.png
7,4,1,carry your things,1,prac,backpack,backpack_370478.png
7,5,1,used while traveling using airplane,1,prac,suitcase,suitcase_350019.png
7,6,1,used to travel for long distances,1,prac,airplane,airplane_167540.png
7,7,1,animal with stripes,1,prac,zebra,zebra_449406.png
7,8,1,glass to drink wine,1,prac,wine glass,wine glass_25394.png
7,9,1,thing to cut things,1,prac,scissors,scissors_324715.png
7,10,1,a toll that represents the bear,1,prac,teddy bear,teddy bear_205542.png
7,11,1,public transport,1,prac,bus,bus_226154.png
7,12,1,thing that controls underwater,1,prac,fire hydrant,fire hydrant_293071.png
7,13,1,the table you your dinner,1,prac,dining table,dining table_385029.png
7,14,1,the thing that makes your hair dry,1,prac,hair drier,hair drier_239041.png
7,15,1,a type of sandwhich,1,prac,hot dog,hot dog_400082.png
7,16,1,a type of fruit,1,prac,apple,apple_216277.png
7,17,1,the thing you use on airplanes to carry ur stuff,1,prac,suitcase,suitcase_23023.png
7,18,1,a yellow fruit,1,prac,banana,banana_279769.png
7,19,1,the thing that helps you carry ur stuff,1,prac,handbag,handbag_383842.png
7,20,1,the device,1,prac,laptop,laptop_482970.png
7,21,1,a type of fruit,1,prac,apple,apple_562059.png
7,22,1,the technology that heats your food,1,prac,microwave,microwave_91615.png
7,23,1,protection from rain,1,prac,umbrella,umbrella_180487.png
7,24,1,the thing you lay at apart from bed,1,prac,couch,couch_31735.png
7,25,1,the animal that is used to ride,1,prac,horse,horse_382088.png
7,26,1,big wild animal with big ears,1,prac,elephant,elephant_97230.png
7,27,1,the thing that allows you to ski,1,prac,skis,skis_342397.png
7,28,1,the thing that allows u to travel on water,1,prac,boat,boat_442822.png
7,29,1,the thing that carries ur stuff,1,prac,handbag,handbag_250127.png
7,30,1,the thing that allows u to surf,1,prac,surfboard,surfboard_554595.png
7,31,1,a type of doll reminicsing bear,1,prac,teddy bear,teddy bear_82180.png
7,32,1,the thing using which u can skate,1,prac,skateboard,skateboard_71877.png
7,33,1,thing used to fill various liquid,1,prac,bottle,bottle_385029.png
7,34,1,animal that gives milk,1,prac,cow,cow_361268.png
7,35,1,a thing that allows u to play tennis,1,prac,tennis racket,tennis racket_394559.png
7,36,1,the thing u sleep at,1,prac,bed,bed_491757.png
7,37,1,an individual,1,prac,person,person_278705.png
7,38,1,a plant in a pot,1,prac,potted plant,potted plant_407614.png
7,39,1,cools ur food,1,prac,refrigerator,refrigerator_536947.png
7,40,1,heats and cooks ur food,1,prac,oven,oven_446005.png
8,1,1,big with zips,1,prac,suitcase,suitcase_23023.png
8,2,1,with a tail and flat ears,1,prac,elephant,elephant_97230.png
8,3,1,laying down for eating grass,1,prac,cow,cow_361268.png
8,4,1,red and yellow,1,prac,apple,apple_216277.png
8,5,1,white,1,prac,horse,horse_382088.png
8,6,1,black without wheels,1,prac,backpack,backpack_370478.png
8,7,1,someone is riding on it,1,prac,horse,horse_439715.png
8,8,1,soft like a human,1,prac,teddy bear,teddy bear_205542.png
8,9,1,yellow bagss,1,prac,handbag,handbag_383842.png
8,10,1,white and big,1,prac,refrigerator,refrigerator_536947.png
8,11,1,"long with words, for surfing",1,prac,surfboard,surfboard_554595.png
8,12,1,"animals, black and white strips",1,prac,zebra,zebra_449406.png
8,13,1,can open can cover ourselves,1,prac,umbrella,umbrella_180487.png
8,14,1,a LV case with wheels,1,prac,suitcase,suitcase_350019.png
8,15,1,with leaves and a round plate,1,prac,potted plant,potted plant_407614.png
8,16,1,"with wheel, can stick on the rock",1,prac,skateboard,skateboard_71877.png
8,17,1,large with wheels and a man is driving on it,1,prac,bus,bus_226154.png
8,18,1,"long and stand on the street, with opening for pouring firess",1,prac,fire hydrant,fire hydrant_293071.png
8,19,1,yellow and curved,1,prac,banana,banana_279769.png
8,20,1,with glasses and fill with liquid,1,prac,bottle,bottle_385029.png
8,21,1,"cover someone, blue and big when it opens",1,prac,umbrella,umbrella_455157.png
8,22,1,can heat foodies,1,prac,microwave,microwave_91615.png
8,23,1,big and an area for laying down,1,prac,bed,bed_491757.png
8,24,1,"can withstand with water, a traffic, white",1,prac,boat,boat_442822.png
8,25,1,"faster move, long with lots of windows, a traffic",1,prac,train,train_539143.png
8,26,1,"sharped and dangerous, for cutting",1,prac,scissors,scissors_324715.png
8,27,1,"with nets, use for sports",1,prac,tennis racket,tennis racket_394559.png
8,28,1,"can heat food, bigger than microwaves",1,prac,oven,oven_446005.png
8,29,1,soft and usually sit on it and watching TV,1,prac,couch,couch_31735.png
8,30,1,"THICH WITH 2 SCREE,S. CAN flip",1,prac,laptop,laptop_482970.png
8,31,1,fruit,1,prac,apple,apple_562059.png
8,32,1,"long and flat, can put food there",1,prac,dining table,dining table_385029.png
8,33,1,"breads with sausage, pour with sauce",1,prac,hot dog,hot dog_400082.png
8,34,1,"fill with wine, transparent bottle",1,prac,wine glass,wine glass_25394.png
8,35,1,soft like person,1,prac,teddy bear,teddy bear_82180.png
8,36,1,"a bigger object, with emotions and actions",1,prac,person,person_278705.png
8,37,1,"L shape with buttons, use for drying hair",1,prac,hair drier,hair drier_239041.png
8,38,1,"for skilling, put on our foot",1,prac,skis,skis_342397.png
8,39,1,"can wear on our shoulders, usually woman loves it",1,prac,handbag,handbag_250127.png
8,40,1,"flying object, usually longer time from nations to nations",1,prac,airplane,airplane_167540.png
9,1,1,"bag carried , contains things, sized to be able to carry easily on shoulders and would not go below waist",1,prac,handbag,handbag_250127.png
9,2,1,"yellow fruit, white inside, long, ",1,prac,banana,banana_279769.png
9,3,1,"animal with black and white stripes, large in size, looks like a horse with stripes",1,prac,zebra,zebra_449406.png
9,4,1,"large vehhicle that moves on tracks, carries people, has many segments, large metal boxes that  move on railway",1,prac,train,train_539143.png
9,5,1,"contains water, looks like large metal bottles attached to the ground",1,prac,fire hydrant,fire hydrant_293071.png
9,6,1,"vehicle that flies in air, wings on two side, long shaped body with windows on both sides",1,prac,airplane,airplane_167540.png
9,7,1,"human. two arms, two legs, wear clothes, walk on two legs",1,prac,person,person_278705.png
9,8,1,"metal box, cool inside, used to contain food, has two doors",1,prac,refrigerator,refrigerator_536947.png
9,9,1,"allows people to sleep on it, soft, bedsheet on it, human sized box",1,prac,bed,bed_491757.png
9,10,1,"soft place where people can sit, has pillows, ",1,prac,couch,couch_31735.png
9,11,1,"used to cook, metal box used to heat things, has glass in front",1,prac,oven,oven_446005.png
9,12,1,"carries thigns, many zippers, divided into many parts",1,prac,backpack,backpack_370478.png
9,13,1,"animal with brown and white , large in size ",1,prac,cow,cow_361268.png
9,14,1,"vehicle , carries people, large wheels on each two sides, large metal box that runs on wheels, windows on each side",1,prac,bus,bus_226154.png
9,15,1,"fluffy toy , looks like bear, small in size, small ears, eyes etc",1,prac,teddy bear,teddy bear_205542.png
9,16,1,"container of liquid, cylinder to hold, ",1,prac,bottle,bottle_385029.png
9,17,1,"table for dining, large in size, allows thigns to be put on it, wood flat surface and four legs",1,prac,dining table,dining table_385029.png
9,18,1,"container for things, rectangular shape ",1,prac,suitcase,suitcase_23023.png
9,19,1,digital screen attached to keyboard. looks like metal box,1,prac,laptop,laptop_482970.png
9,20,1,"fluffy toy, looks like bear, brown color, ",1,prac,teddy bear,teddy bear_82180.png
9,21,1,"red fruit that is round, smooth surface, ",1,prac,apple,apple_216277.png
9,22,1,"large animal, carries people, long legs, long tail, hair on back, fur on body, ",1,prac,horse,horse_439715.png
9,23,1,"large animal, hair on back and top, long legs and tail, could carry people",1,prac,horse,horse_382088.png
9,24,1,"glass container to hold liquid, cylinder shaped",1,prac,wine glass,wine glass_25394.png
9,25,1,"box to contain clothes and other things, size of half and average adult , wheels on bottom ",1,prac,suitcase,suitcase_350019.png
9,26,1,"used to heat, has a door with glass that is transparent in front, has buttons to choose mode",1,prac,microwave,microwave_91615.png
9,27,1,"extremely large animal , large ears, long tooth that sticks far out from mouth, long nose, tail",1,prac,elephant,elephant_97230.png
9,28,1,"rackes used to hit tennis ball. net on surface surrounded by metal ring , connected to metal stick",1,prac,tennis racket,tennis racket_394559.png
9,29,1,"pot that holds plants, cylinder shape larger on top than bottom, has dirt and plants inside",1,prac,potted plant,potted plant_407614.png
9,30,1,"food, bread cut in middle but not completely, sausage inside, sauce on it",1,prac,hot dog,hot dog_400082.png
9,31,1,"used to protect from rain, curved surface, the other side connected to stick to hold",1,prac,umbrella,umbrella_455157.png
9,32,1,"sharp edges connected to a handle, allows cutting",1,prac,scissors,scissors_324715.png
9,33,1,"vehicle on water, pointy front end, body allows people to stay",1,prac,boat,boat_442822.png
9,34,1,"human sized board with smooth surface , allows to stand on water",1,prac,surfboard,surfboard_554595.png
9,35,1,"curved surface, other side connected to stick ",1,prac,umbrella,umbrella_180487.png
9,36,1,"small bag that could be carried with hand, contains things. has a handle",1,prac,handbag,handbag_383842.png
9,37,1,"board , wheels attached to bottom, people stand on it",1,prac,skateboard,skateboard_71877.png
9,38,1,"dries hair,  pistol shaped with open ends on each side with filter, handle to hold, cable ",1,prac,hair drier,hair drier_239041.png
9,39,1,"red fruit , round, ",1,prac,apple,apple_562059.png
9,40,1,"thin boards, allow people to stand, used for moving on snow",1,prac,skis,skis_342397.png
10,1,1,fluffy space to sleep on,1,prac,bed,bed_491757.png
10,2,1,sun or rain shade,1,prac,umbrella,umbrella_180487.png
10,3,1,large vehicle for carrying people,1,prac,bus,bus_226154.png
10,4,1,yellow fruit peels to eat',1,prac,banana,banana_279769.png
10,5,1,table to serve food on while eating with people,1,prac,dining table,dining table_385029.png
10,6,1,fire extinguisher with water ,1,prac,fire hydrant,fire hydrant_293071.png
10,7,1,board for surfing on waves at the beach,1,prac,surfboard,surfboard_554595.png
10,8,1,smaller ja for storing and drinking from,1,prac,bottle,bottle_385029.png
